transaction_id,amount,hour_of_day,txn_count_last_24h,distance_from_home_km,is_foreign_country,is_new_merchant,Class
1,41.3,18,1,0.41,0,0,0
2,179.3,14,3,6.99,0,0,0
3,65.17,9,2,5.15,0,0,0
4,32.73,10,7,1.35,0,0,0
5,129.54,8,6,1.46,0,0,0
6,45.33,17,4,2.77,0,0,0
7,48.4,23,2,2.84,0,0,0
8,151.57,10,2,12.84,0,0,0
9,526.27,6,6,113.89,1,1,1
10,97.42,1,4,1.56,0,0,0
11,153.61,13,2,0.54,0,0,0
12,144.76,18,4,2.86,0,0,0
13,7.03,17,4,31.92,0,0,0
14,26.56,14,4,2.99,0,0,0
15,60.17,10,6,2.14,0,0,0
16,126.74,19,2,15.94,0,0,0
17,82.37,10,4,0.03,0,0,0
18,74.27,17,5,4.43,0,0,0
19,120.35,19,2,2.71,0,0,0
20,126.62,15,2,10.81,0,0,0
21,38.87,13,5,1.96,0,1,0
22,42.02,19,2,0.35,1,0,0
23,56.08,19,2,4.66,0,0,0
24,82.61,14,3,2.79,0,1,0
25,34.77,17,3,0.8,0,1,0
26,168.78,17,6,7.95,0,0,0
27,67.98,17,3,3.41,0,0,0
28,43.64,12,4,2.33,0,0,0
29,72.72,7,1,3.04,0,0,0
30,286.57,16,4,0.32,0,0,0
31,44.59,19,3,1.11,0,0,0
32,137.07,7,1,5.77,0,0,0
33,83.23,13,5,1.48,0,0,0
34,34.36,12,3,1.71,0,1,0
35,80.63,8,2,2.96,0,0,0
36,64.13,13,0,6.64,0,0,0
37,6.47,13,2,1.22,0,1,0
38,61.25,17,2,3.89,0,0,0
39,156.45,20,3,3.82,0,1,0
40,227.7,18,1,9.73,0,0,0
41,91.26,16,1,2.94,0,0,0
42,227.65,17,5,0.13,0,1,0
43,123.91,10,0,1.19,0,0,0
44,50.94,15,5,2.96,0,0,0
45,67.31,19,5,5.93,0,0,0
46,1812.87,1,5,221.49,1,0,1
47,81.72,14,0,10.9,0,0,0
48,38.61,20,5,2.76,0,0,0
49,414.06,10,4,6.42,0,0,0
50,22.71,18,3,7.85,0,0,0
51,74.32,13,4,12.19,0,0,0
52,125.59,18,2,1.8,0,0,0
53,126.11,14,1,0.27,0,0,0
54,163.14,14,3,10.13,0,0,0
55,28.58,22,4,12.36,0,0,0
56,146.44,15,5,0.1,0,0,0
57,132.24,18,4,5.14,0,0,0
58,140.89,13,2,4.72,0,0,0
59,21.01,16,1,9.0,0,0,0
60,50.74,11,7,4.22,0,0,0
61,15.95,16,4,2.27,0,0,0
62,223.09,15,2,3.92,0,0,0
63,139.86,9,3,3.46,0,0,0
64,304.62,17,2,4.37,0,0,0
65,40.64,19,2,0.18,0,0,0
66,95.8,15,6,1.4,0,0,0
67,52.68,15,0,3.11,0,0,0
68,31.12,11,1,3.25,0,0,0
69,112.16,13,5,13.19,0,0,0
70,152.76,19,2,0.19,0,0,0
71,105.15,11,6,0.27,0,0,0
